id,food category,scientific name,family,popular name,occurrence by region,conservation status,origin,commercial cultivation,availability of nutritional composition data,number of recipes (POF/IBGE),number of recipes - other sources
172,mushrooms,Pluteus longistriatus (Peck) Peck,Pluteaceae,,SP,Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
173,mushrooms,Podoscypha brasiliensis D.A. Reid,Podoscyphaceae,,"AC, PA, PR",Data Deficient (DD),Native,No,Does not exist,0,0
174,mushrooms,Podoscypha nitidula (Berk.) Pat.,Podoscyphaceae,,"GO, PB, PR, PE, RN",Data Deficient (DD),Native,No,Does not exist,0,0
175,mushrooms,Polyporus indigenus I.J.A. Aguiar & M.A. de Sousa,Polyporaceae,,"AM, PA, RO",Data Deficient (DD),Native,No,Does not exist,0,0
176,mushrooms,Polyporus sapurema Möller,Polyporaceae,,"AC, BA, ES, PR, RS, SP, SC ",Near Threatened (NT),Native,No,Does not exist,0,0
177,mushrooms,Pseudofistulina radicata (Schwein.) Burds.,incertae sedis,,"RJ, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
178,mushrooms,Rigidoporus amazonicus Ryvarden,Meripilaceae,,"AC, SC",Data Deficient (DD),Native,No,Does not exist,0,0
179,mushrooms,Ripartitella brasiliensis (Speg.) Singer,incertae sedis,,"PE, PR, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
180,mushrooms,Russula parazurea Jul. Schäff.,Russulaceae,,SP,Data Deficient (DD),Exotic,No,Does not exist,0,0
181,mushrooms,Schizophyllum commune Fr.,Schizophyllaceae,fungo-de-lamelas-fendidas,"AL, AP, BA, DF, MG, MT, PA, PB, PE, PR, RO, RN, RS, SC, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
182,mushrooms,Sclerotinia sclerotiorum (Lib.) de Bary,Sclerotiniaceae,,"DF, GO, MG, PR",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
183,mushrooms,Suillus salmonicolor (Frost) Halling,Suillaceae,suíno-salmão,"PR, RS, SC, SP",Data Deficient (DD),Exotic,No,Does not exist,0,0
184,mushrooms,Tremella fuciformis Berk.,Tremellaceae,fungo-gelatinoso-branco,"AM, BA, DF, PR, RJ, RS, SP",Not Evaluated (NE),Native,Yes ,Does not exist,0,0
185,mushrooms,"Tuber floridanum A. Grupe, Sulzbacher & M.E. Sm.",Tuberaceae,trufa-sapucay,RS,Data Deficient (DD),Exotic,Yes ,Does not exist,0,0
186,mushrooms,Volvariella bombycina (Schaeff.) Singer,Pluteaceae,,"PR, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
187,insect,Periplaneta americana,Blattidae,Barata,"AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MS, MT, MG, PA, PB, PR, PE, PI, RJ, RN, RS, RO, RR, SC, SP, SE, TO",Not Evaluated (NE),Exotic,No,Does not exist,0,0
188,insect,Atta spp.,Formicidae,Tanajura,"AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MS, MT, MG, PA, PB, PR, PE, PI, RJ, RN, RS, RO, RR, SC, SP, SE, TO",Not Evaluated (NE),Native,No,Does not exist,0,1
189,insect,Pachymerus nucleorum,Bruchidae,Gongo,"CE, MA, MG, MT, PA, PE, PI, RO, TO",Not Evaluated (NE),Naturally occurring,No,Does not exist,0,0
190,insect,Gryllus assimilis,Gryllidae,Grilo,"AC, AL, AP, AM, BA, CE, DF, ES, GO, MA, MT, MS, MG, PA, PB, PR, PE, PI, RJ, RN, RS, RO, RR, SC, SP, SE, TO",Not Evaluated (NE),Exotic,Yes ,Does not exist,0,0
191,insect,Rhynchophorus palmarum,Curculionidae,Boreu/Broca-do-coqueiro,"RS, SC, PR, MS, SP, ES, MG, AL, SE, BA, RJ, PE, PB, CE, MA, PA, AM, MT, GO",Not Evaluated (NE),Native,No,Does not exist,0,0
192,insect,Pachymerus cardo,Bruchidae,Tomarã,"ES, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
193,insect,Rhinostomus barbirostris,Curculionidae,Broca-do-Estipe,"BA, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
194,insect,Homalinotus validus,Curculionidae,Broca-do-Coqueiro,AM,Not Evaluated (NE),Native,No,Does not exist,0,0
195,insect,Lusura altrix,Notodontidae,Mãmneg,AP,Not Evaluated (NE),Native,No,Does not exist,0,0
